Japanese,English
の,of
に,On
する,do
は,teeth
を,of
が,but
と,and
年,Year
で,and
だ,is
月,Month
も,and
から,from
日,Day
成る,Become
こと,matter
有る,Have
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,In addition
この,this
人,Man
その,the
まで,to
もの,thing
へ,fart
又,or
これ,this
行う,conduct
よう,So
出来る,Be ready
駅,station
国,Country
より,Than
大学,University
現在,the current
後,rear
か,mosquito
線,line
ぬ,Lantern
放送,broadcast
号,issue
軍,army
無い,No
部,Department
持つ,Hold
所,Place
名,given name
回,times
世界,world
時,Time
戦,War
時代,Era
東京,Tokyo
おく,back
でも,but
呼ぶ,Call
その後,after that
会,Meeting
それ,that
機,Machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,Make
しかし,but
つく,arrive
昭和,Showa
作品,the work
地,Land
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Shrine
川,river
映画,movie
位,Position
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activity
発売,Release
他,other
出身,where one is from
年代,Age
会社,company
権,Right
開発,development
分,Part
西,West
鉄道,Railway
法,Law
局,Bureau
更に,Further
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,note that
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,region
作,Work
事,case
版,Plate
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,In
中心,center
大会,Conference
多く,Many
南,South
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,the way
角,corner
用いる,Use
および,and
館,Mansion
場,Place
体,body
世紀,century
音楽,music
参加,Participation
発表,announcement
記録,record
掛ける,Put on
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,come in
度,Every time
州,state
全て,all
明治,Meiji
生,Living
点,point
力,Power
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,win
都市,City
含む,include
アルバム,album
込む,In
問題,problem
シーズン,Season
開催,hold
大阪,Osaka
位置,position
監督,directed by
上,Up
主,main
設置,Installation
郡,county
戦争,war
物,thing
艦,Ship
地方,Region
隊,Squad
期,Period
城,castle
にて,At
長,Long
計画,plan
番,Rank
必要,need
出す,put out
一般,Ordinary
変更,change
本,Book
中央,Center
関する,Be involved in
出る,Come out
出演,Appearance
作る,make
基,Base
事業,business
委員,Committee member
バス,bus
市,city
以下,the following
社会,society
教育,education
事件,Case
特に,especially
卒業,graduation
役,Role
当初,Beginning
結果,result
選挙,selection
機関,institution
大きい,big
高等,High
獲得,Acquisition
政府,government
戦う,fight
中国,China
最初,first time
設立,Establishment
置く,put
種,seed
金,Money
建設,construction
派,Faction
続く,Continue
影響,Impact
文化,culture
科,Department
外,Outside
デビュー,debut
台,Stand
情報,information
そして,and
航空,Aviation
村,village
政治,Politics
同様,Same
販売,sale
面,surface
異なる,different
担当,responsible person
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,as well as
区,Ward
馬,Horse
プロ,Professional
経済,economic
付ける,wear
地区,district
与える,give
それぞれ,Each
年間,Year
水,water
構成,composition
路線,Route
射る,shoot
アメリカ合衆国,united states of america
米,Rice
採用,Recruitment
伴う,Accompany
主義,Principle
上げる,increase
グループ,group
女性,woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
元,Origin
県,prefecture
続ける,continue
技術,Technology
当たる,Hit
うち,home
海軍,Navy
公,public
発生,occurrence
製造,Manufacturing
自身,Themselves
車両,vehicle
光,light
話,Story
野球,baseball
調査,investigation
船,ship
シングル,single
勝,Victory
列車,train
正,Positive
父,father
活躍,action
省,Ministry
終了,end
文,Sentence
初,first time
全国,Nationwide
収録,Recording
人物,person
ロシア,Russia
渡る,Be overwhelmed
制作,Production
就任,Appointment
最後,last
書く,write
下,under
エンジン,engine
状態,situation
かつて,Once
形,shape
殆んど,Mostly
橋,bridge
決定,Decision
経る,Pass
組織,Organization
イタリア,Italy
朝,morning
帝国,Empire
生産,production
果たす,Fulfill
株式,stock
海,Ocean
神,God
年度,year
モデル,model
描く,draw
道路,road
制,Control
次,Next
但し,however
議員,Parliamentarians
京都,Kyoto
部分,part
漫画,comics
最大,maximum
名称,name
石,stone
員,Member
独立,Independence
書,book
施設,institution
場所,place
県道,Prefectural road
始まる,Start
示す,show
以降,from
様々,various
大きな,big
クラブ,club
機能,function
天,Heaven
サッカー,soccer
部隊,Troops
搭載,powered by
初めて,first time
兵,Soldier
高校,high school
公開,Release
党,party
編成,Formation
運動,motion
量,amount
時期,season
センター,Center
製作,Production
藩,Clan
強い,strong
企業,Company
受賞,Awarded
付く,Be attached
院,Hospital
店,shop
戦闘,fight
結ぶ,tie
目的,the purpose
通常,generally
対応,correspondence
残る,Remain
勝利,victory
ホーム,home
管理,management
至る,Get
団,Group
木,wood
最終,Final
基本,Basics
教授,Professor
ドラマ,Drama
挙げる,Give up
構造,structure
作曲,Composition
アニメ,animation
設計,design
実施,implementation
現,Present
長い,long
メンバー,member
領,Territory
交通,traffic
室,Room
協会,Association
女子,Girl
者,person
設定,setting
発見,discover
契約,contract
信,Religion
英語,English
生活,life
連合,Coalition
自動車,car
指揮,Command
色,colour
自分,myself
及ぶ,Be
ラジオ,radio
歌,song
重,Heavy
規模,scale
移籍,Transfer
思う,think
廃止,abolition
名前,name
重要,important
成功,success
原,original
予定,schedule
特別,special
認める,admit
キャラクター,character
巻,roll
最高,Best
加える,Add
ここ,here
バンド,band
再び,again
武,Madness
実際,actual
そこ,There
似る,Resemble
組,set
運転,drive
専門,Specialty
出版,Publication
内容,Content
煎る,roast
個,Individual
小学校,primary school
義,Righteousness
数,number
終わる,End
例,example
リリース,release
合わせる,match
大戦,War
科学,Science
運行,Operation
対,versus
北海道,Hokkaido
士,Man
ヨーロッパ,Europe
群,group
少ない,few
指定,specify
江戸,Edo
ところ,Part
陸軍,Army
残す,leave
教会,Church
期間,period
共和,Republic
前,Before
国家,Nation
連続,continue
門,gate
導入,introduction
記念,anniversary
団体,Group
結成,Formation
特徴,feature
または,or
表記,labels
平,flat
校,school
宇宙,universe
総合,Comprehensive
死去,Death
小説,novel
大統領,president
公園,park
タイトル,title
カード,card
警察,police
形式,format
競技,Competition
結婚,marriage
参照,reference
係わる,Be involved
夏,summer
ローマ,Rome
国民,Citizen
中学校,junior high school
評価,evaluation
オリンピック,Olympic
新た,new
運営,operation
選ぶ,select
完全,Perfect
連邦,Federation
経営,management
条,Articles
指導,Guidance
会議,meeting
谷,valley
決勝,final
英,British
先,Precedence
展開,Development
完成,Complete
品,Item
多数,Majority
別,another
周辺,neighborhood
子供,child
対象,subject
事務,Administrative office
概要,overview
提供,Providing
飛行,Flight
進む,move on
天皇,Emperor
田,Rice field
娘,daughter
マン,man
市立,Municipal
サービス,service
ほぼ,Almost
向かう,Head to
扱う,deal
引退,Retirement
あるいは,or
求める,demand
同時に,at the same time
男,Man
理由,reason
人気,popular
族,Tribe
作戦,Strategy
円,circle
勝つ,win
非常,Informal
頭,Head
音,sound
除く,except
デザイン,design
議会,Parliament
政,Government
人間,human
公式,official
しか,deer
編,Edition
初期,initial
環境,environment
星,Star
流れる,Fling
彼女,she
誌,magazine
時点,Point
レース,race
通り,street
打,Hitting
全体,whole
自由,freedom
座,seat
労働,Labor
表示,display
例えば,for example
和,sum
発行,issue
自治,Self -government
裁判,trial
方法,Method
支援,support
共同,Joint
文字,letter
その他,others
関連,connection
新しい,new
国道,National road
左,left
スポーツ,Sports
値,value
広島,Hiroshima
スペイン,Spain
営業,sales
花,flower
行,line
母,mother
様,looks
輸送,shipping
野,field
屋,Shop
説,Theory
舞台,stage
以前,Before
方面,Direction
合併,merger
アジア,Asia
演奏,Performance
工業,Industrial industry
建築,Architecture
春,spring
法人,Corporation
圏,Sphere
街,Town
いずれ,Either
データ,data
送る,send
運用,Operation
高速,high speed
一覧,List
大正,Taisho
区間,section
能力,ability
支配,Rule
有名,famous
銀行,Bank
新聞,newspaper
翌年,following year
空港,airport
由来,Origin
競馬,Horse racing
学者,Scholar
韓国,Korea
自ずから,naturally
産業,industry
整備,Maintenance
口,mouth
史,History
行政,Government
試験,test
明,Clearing
妻,wife
ニューヨーク,new york
方式,method
発展,development
枠,frame
丸,Circle
ジョン,John
状況,situation
基づく,Be based
主要,Main
既に,already
変化,change
神社,shrine
違う,different
当,This
右,right
両,Both
対戦,match
制度,system
広い,wide
番号,number
戻る,return
成立,Establishment
港,Port
新,new
通信,communication
内,Inside
連載,Serialization
装置,Device
後半,Latter half
頃,Time
移動,Migration
企画,plan
電気,electricity
平均,average
庁,Government office
プレー,play
掲載,publish
清,Clearing
祭,Festival
民,people
南部,Southern part
サイト,site
距離,distance
分類,Classification
種類,kinds
スーパー,Supermarket
男性,male
風,Wind
福岡,Fukuoka
状,Shape
形成,Formation
階,Floors
差,difference
付近,near
師,Teacher
言語,language
元年,First year
登録,register
物語,story
まま,Be
工場,plant
主張,Claim
大臣,Minister
含める,include
自然,Nature
装備,Equipment
丘,hill
迎える,Welcome
属,Genus
開く,open
撮影,photograph
系列,series
近い,close
以後,Later
事故,accident
正式,Official
成績,Result
旧,Old
路,Road
複数,multiple
美術,art
雑誌,magazine
論,Argument
電車,train
初代,First generation
設ける,prepare
帯,band
家,House
述べる,Describe
写真,photograph
地球,Earth
政権,administration
蔵,Warehouse
競走,race
起こる,break out
惑星,planet
学ぶ,learn
県立,Prefectural
部門,Department
中継,relay
王国,Kingdom
末,End
千葉,Center
類,Kind
表現,Expression
動物,animal
司令,command
忠,Loyalty
鉄,iron
製品,product
支持,support
入れる,put in
ビル,building
組む,Assemble
病院,hospital
方,direction
乗る,get on
艦隊,fleet
経験,experience
秋,autumn
地上,Ground
メートル,Meter
竜,dragon
指す,Point to
横浜,Yokohama
復帰,return
語る,talk
条件,conditions
将軍,General
ファン,fan
敗れる,Lose
名古屋,Nagoya
称する,Call
学生,student
劇場,theater
選出,Selection
行動,Behavior
心,heart
言葉,words
クラス,class
弾,Bullet
久,For a long time
森,wood
紹介,introduction
客,Customer
率いる,Led by
着る,wearll
少年,boy
失う,lose
拡大,expansion
姿,figure
尾,tail
政策,policy
敵,enemy
専用,exclusive
年頃,Around the time
軍事,Military affairs
宮,Palace
このよう,like this
編集,edit
相手,partner
大形,Large size
進出,Advance
保,Maintaining
イベント,event
文学,literature
着,Wearing
ダム,dam
反対,oppose
保護,protection
進める,Proceed
程,Moderate
女,woman
追加,addition
湖,lake
俳優,actor
メーカー,Maker
人々,people
界,World
開業,Opening a business
林,Forest
工事,construction
継ぐ,Take over
現代,present day
表す,show
方向,direction
学部,Faculty
確認,confirmation
立つ,stand
記述,Description
直接,Direct
又は,Or
個人,Individual
事実,fact
統合,Integration
見せる,show
オリジナル,original
配置,Arrangement
従来,Conventional
批判,Criticism
国立,National national
会長,chairman
住む,live
定める,stipulate
条約,Treaty
増加,gain
北部,Northern part
近年,recent years
夫,husband
唯一,Only
業,Business
息子,son
決める,decide
候補,candidate
過去,past
映像,picture
普通,usually
堂,Temple
白,White
芸術,art
作家,Writer
パリ,Paris
途中,in the middle
相,phase
取得,Acquisition
字,Character
戦後,After the war
効果,effect
地元,local
得点,score
トップ,Top
ライブ,live
僅か,subtle
章,chapter
報告,report
女優,actress
朝鮮,Korea
標準,standard
集,collection
吉,Goodbye
赤,red
項,Section
ロンドン,London
観光,sightseeing
目指す,aim
コンピューター,computer
ソ連,Soviet Union
器,vessel
離れる,Leave
べし,Beyond
声,voice
防衛,defense
起こす,Wake up
住民,residents
革命,revolution
インド,India
徳,Virtue
電話,phone
直,straight
各地,Everywhere
内閣,Cabinet
限定,exclusive
王座,throne
ロック,rock
店舗,Store
新潟,Niigata
本線,Main line
黒,black
弟,younger brother
波,wave
博士,Doctor
湾,bay
規定,Provisions
流,Style
核,Nucleus
外国,foreign country
ニュース,news
法律,law
紀元,A.D.
太,Slim
変わる,change
協力,cooperation
読む,read
社長,president
業務,business
集める,collect
電子,Electron
低い,low
市民,Citizen
不明,not clear
創設,Establishment
楽曲,Music
台湾,Taiwan
本名,Real name
比べる,compare
欧州,Europe
家族,family
系統,system
自動,Automatic
止まる,Stop
速度,speed
民族,People
そのまま,As it is
知,Knowledge
夜,night
余り,remainder
オープン,open
現れる,appear
分野,Field
勢力,power
伝える,inform
ソフト,soft
統一,Unification
生物,Creature
大,Big
太平洋,pacific ocean
ヒット,hit
超える,Exceed
土地,land
制御,control
動く,Move
太郎,Taro
九州,Kyushu
職,Job
歌手,singer
元々,originally
段,Steps
治,Cure
市場,market
層,layer
反応,reaction
表,table
独自,Unique
親,parent
記す,Write down
美,Beauty
発電,Power generation
改正,Revision
テーマ,theme
空,Sky
組合,Union
参戦,Participation in the war
域,Area
処理,process
細胞,cell
分ける,Divide
商品,merchandise
性能,Performance
ポーランド,Poland
原因,Cause
原作,original
ライン,line
安全,safety
改造,Remodeling
カナダ,Canada
帝,Emperor
つつ,Wicking
図る,Plan
愛,Love
明らか,clear
秒,Second
仕事,work
派遣,Dispatch
特定,identification
死,death
定義,Definition
レコード,record
本部,Headquarters
実験,experiment
毎年,Every year
タイプ,type
所在,Being located
関東,Kanto
